Date,Trendo filtras 200d,70/20/10 be filtro,Tik akcijos
2018-08-27,1.0,1.0,1.0
2018-08-28,1.0,1.0,1.0
2018-08-29,0.9998910452549336,0.9998910452549336,0.9998910452549336
2018-08-30,1.000327788450756,1.000327788450756,1.000327788450756
2018-08-31,1.0002181148713676,1.0002181148713676,1.0002181148713676
2018-09-04,0.9996057012085041,0.9987054258846898,0.9993056094338993
2018-09-05,0.9957595023393636,0.9607992238556385,0.9938596011398315
2018-09-06,0.9933466750874294,0.9504295560101793,0.9903199598383154
2018-09-07,0.9905521656247918,0.9413391014940756,0.9862355736585046
2018-09-10,0.9916958429988785,0.9317204813735359,0.9878689079878389
2018-09-11,0.9938261685784439,0.9293864633047781,0.9908644046147603
2018-09-12,0.9951608581035328,0.9309437525611574,0.9927705315258321
2018-09-13,0.9999272942077722,0.9499916796032627,0.9995776817711968
2018-09-14,1.0005321394868814,0.9505764425282863,1.0003946190275288
2018-09-17,0.9983096548940816,0.9371595474229534,0.99712699004294
2018-09-18,1.0032668509880678,0.9487863075944061,1.0042065727478222
2018-09-19,1.0050780412322025,0.9513328639975919,1.0067932106141724
2018-09-20,1.0118166644424078,0.9663974580458086,1.016323365006571
2018-09-21,1.0121980163143978,0.9803069324539886,1.0168679898441257
2018-09-24,1.0088943591959083,0.9669466321743808,1.0121028526275564
2018-09-25,1.010324281621805,0.9607601318573639,1.0141449856970917
2018-09-26,1.0098479490102628,0.9606718991738135,1.0134647148232934
2018-09-27,1.0099134915956511,0.9700238378503097,1.0134647148232934
2018-09-28,1.0081972820910687,0.9652947264675447,1.0110137229931868
2018-10-01,1.0102161979160151,0.9686155651896384,1.0138729733801644
2018-10-02,1.0078754072851044,0.9638482696175944,1.010469218196372
2018-10-03,1.00740060026342,0.9590110373399714,1.0097884671596133
2018-10-04,0.9999652592217843,0.9547224167910786,0.9990329969132714
2018-10-05,0.9959150487166863,0.9544129373489234,0.9931787300623325
2018-10-08,0.9947755872175477,0.9548892415599582,0.9915450356107781
2018-10-09,0.993413324204693,0.9527984614674543,0.9896392088015564
2018-10-10,0.9734434272158289,0.9309796835220334,0.9609126794455266
2018-10-11,0.9621764165928101,0.8952405506169814,0.9447112009051167
2018-10-12,0.9701528145376791,0.9064614941231697,0.9561473021474771
2018-10-15,0.9665776393346214,0.9179136839017933,0.9509738463536667
2018-10-16,0.9799998713797622,0.9309133670407854,0.9701703413580378
2018-10-17,0.9781955460895466,0.9263893146147285,0.9675834033898375
2018-10-18,0.9673705571909172,0.9124532156687949,0.9520631560491462
2018-10-19,0.9687330390007609,0.9135530707530203,0.953969162919478
2018-10-22,0.9670898771817364,0.9126864701031424,0.9515182311097414
2018-10-23,0.96196227950425,0.9075568606740546,0.9441665760675619
2018-10-24,0.9437634917781885,0.8904634253059749,0.9180266245575123
2018-10-25,0.9529127118045156,0.8981538004537466,0.9310967203532771
2018-10-26,0.9442096769545048,0.8899880748781758,0.918571189374697
2018-10-29,0.9400316933203873,0.8792512291357439,0.9125810364060344
2018-10-30,0.9491475109016706,0.8881695758073164,0.9256507720795791
2018-10-31,0.9563023191085378,0.8944348783744152,0.9358616174883663
2018-11-01,0.96482299890387,0.9055290850792492,0.948931593243391
2018-11-02,0.96482299890387,0.9054522959615049,0.947161712572263
2018-11-05,0.9649277494260827,0.912098984668882,0.9500208429185006
2018-11-06,0.9649277494260827,0.9202637901918757,0.9541051690779414
2018-11-07,0.96503398086991,0.9332896716649174,0.9715317233908145
2018-11-08,0.9651391263045531,0.9235902755267678,0.9636355035314502
2018-11-09,0.9653499108143778,0.9152177256075135,0.9554667311718285
2018-11-12,0.9652444691954116,0.9032352109672881,0.9379039306190117
2018-11-13,0.9653499108143779,0.902174455278473,0.9392651926110486
2018-11-14,0.9652444691954117,0.8706841430614962,0.9358616174883662
2018-11-15,0.9655608927804179,0.8738524934421992,0.9448472070635802
2018-11-16,0.9656665318555994,0.8708682793537407,0.9472978987918367
2018-11-19,0.9655608927804179,0.8294870478032911,0.9330027272236086
2018-11-20,0.9657719734745656,0.7976268179084294,0.9159844914879766
2018-11-21,0.9659829554406058,0.8104301962693592,0.9244256963071157
2018-11-23,0.9659829554406058,0.7929911866214685,0.9182990570170293
2018-11-26,0.9660885945157873,0.7790536582406015,0.9317773513492951
2018-11-27,0.9660885945157873,0.7817248296623379,0.9328664209632945
2018-11-28,0.9661941348628611,0.8124253549870223,0.9517904835081482
2018-11-29,0.9662999713942579,0.808167571270495,0.947842463609021
2018-11-30,0.9664046231883628,0.8006591880046017,0.9507015939552587
2018-12-03,0.966373030193916,0.8030904324954475,0.9629546324539513
2018-12-04,0.9664792616377434,0.79089256079892,0.9359978637283095
2018-12-06,0.9666906385162142,0.7569281827366261,0.9319135975892386
2018-12-07,0.9667961788632881,0.7434742052106772,0.9140784846176444
2018-12-10,0.9669018179384696,0.7441102877638778,0.9113557205520906
2018-12-11,0.9667961788632882,0.7395851875338453,0.9125810364060337
2018-12-12,0.9670072595574359,0.7490153692447679,0.9222470769161561
2018-12-13,0.9671133922731557,0.7384026818734171,0.921430199680194
2018-12-14,0.9672187351640142,0.7251580403423388,0.9065904032744111
2018-12-17,0.9673243742391956,0.7376254372811756,0.8928399165641078
2018-12-18,0.9673243742391956,0.7479715830317492,0.8924000872926066
2018-12-19,0.9672187351640141,0.7429255219971709,0.8800343305390177
2018-12-20,0.967430605683023,0.7654786495042847,0.8723400792247682
2018-12-21,0.9676422787458164,0.7410859005003761,0.8558524235601064
2018-12-24,0.9677481152772132,0.7623570334415188,0.8406012475382115
2018-12-26,0.9676422787458164,0.7651841292286373,0.8716531460898977
2018-12-27,0.9679593934275762,0.7479666963436549,0.8757751050213407
2018-12-28,0.9680652299589729,0.7758368744667385,0.8778922635534002
2018-12-31,0.9681713626746927,0.7676960180048155,0.8821547301710583
2019-01-02,0.968065229958973,0.7916401452543798,0.88187959679489
